# Spielberg Centerline for F1TENTH / RoboRacer
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000;0.0000000;0.0000000;-2.8789845;-0.0000345;6.5000000;0.0000000
0.3975671;-0.3839370;-0.1032085;-2.8789982;-0.0000225;6.5000000;0.0000000
0.7951342;-0.7678753;-0.2064117;-2.8790073;-0.0000106;6.5000000;0.0000000
1.1927006;-1.1518140;-0.3096113;-2.8790112;0.0000012;6.5000000;0.0000000
1.5902661;-1.5357522;-0.4128091;-2.8790108;0.0000126;6.5000000;0.0000000
1.9878303;-1.9196891;-0.5160067;-2.8790054;0.0000230;6.5000000;0.0000000
2.3853927;-2.3036237;-0.6192060;-2.8789951;0.0000318;6.5000000;0.0000000
2.7829531;-2.6875553;-0.7224086;-2.8789804;0.0000382;6.5000000;0.0000000
3.1805110;-3.0714830;-0.8256163;-2.8789615;0.0000420;6.5000000;0.0000000
3.5780661;-3.4554060;-0.9288305;-2.8789427;0.0000435;6.5000000;0.0000000
3.9756185;-3.8393245;-1.0320512;-2.8789246;0.0000434;6.5000000;0.0000000
4.3731683;-4.2232386;-1.1352782;-2.8789070;0.0000424;6.5000000;0.0000000
4.7707157;-4.6071486;-1.2385114;-2.8788899;0.0000410;6.5000000;0.0000000
5.1682608;-4.9910546;-1.3417505;-2.8788735;0.0000395;6.5000000;0.0000000
5.5658038;-5.3749568;-1.4449953;-2.8788581;0.0000379;6.5000000;0.0000000
5.9633448;-5.7588555;-1.5482456;-2.8788428;0.0000363;6.5000000;0.0000000
6.3608840;-6.1427509;-1.6515012;-2.8788285;0.0000348;6.5000000;0.0000000
6.7584214;-6.5266431;-1.7547619;-2.8788146;0.0000332;6.5000000;0.0000000
7.1559573;-6.9105324;-1.8580275;-2.8788014;0.0000316;6.5000000;0.0000000
7.5534917;-7.2944190;-1.9612977;-2.8787888;0.0000300;6.5000000;0.0000000
7.9510249;-7.6783030;-2.0645726;-2.8787768;0.0000284;6.5000000;0.0000000
8.3485569;-8.0621847;-2.1678517;-2.8787657;0.0000269;6.5000000;0.0000000
8.7460880;-8.4460642;-2.2711348;-2.8787548;0.0000253;6.5000000;0.0000000
9.1436181;-8.8299418;-2.3744219;-2.8787449;0.0000237;6.5000000;0.0000000
9.5411477;-9.2138178;-2.4777126;-2.8787355;0.0000221;6.5000000;0.0000000
9.9386766;-9.5976922;-2.5810068;-2.8787265;0.0000206;6.5000000;0.0000000
10.3362050;-9.9815652;-2.6843042;-2.8787185;0.0000190;6.5000000;0.0000000
10.7337333;-10.3654372;-2.7876048;-2.8787109;0.0000174;6.5000000;0.0000000
11.1312613;-10.7493083;-2.8909082;-2.8787039;0.0000158;6.5000000;0.0000000
11.5287894;-11.1331786;-2.9942142;-2.8786978;0.0000142;6.5000000;0.0000000
11.9263177;-11.5170484;-3.0975227;-2.8786919;0.0000127;6.5000000;0.0000000
12.3238462;-11.9009180;-3.2008335;-2.8786871;0.0000111;6.5000000;0.0000000
12.7213752;-12.2847874;-3.3041463;-2.8786825;0.0000095;6.5000000;0.0000000
13.1189048;-12.6686570;-3.4074610;-2.8786788;0.0000079;6.5000000;0.0000000
13.5164351;-13.0525269;-3.5107772;-2.8786757;0.0000063;6.5000000;0.0000000
13.9139662;-13.4363972;-3.6140949;-2.8786731;0.0000048;6.5000000;0.0000000
14.3114984;-13.8202683;-3.7174139;-2.8786713;0.0000032;6.5000000;0.0000000
14.7090317;-14.2041403;-3.8207338;-2.8786699;0.0000016;6.5000000;0.0000000
15.1065663;-14.5880135;-3.9240546;-2.8786693;0.0000001;6.5000000;0.0000000
15.5041024;-14.9718879;-4.0273761;-2.8786692;-0.0000015;6.5000000;0.0000000
15.9016399;-15.3557638;-4.1306979;-2.8786699;-0.0000031;6.5000000;0.0000000
16.2991793;-15.7396416;-4.2340200;-2.8786711;-0.0000047;6.5000000;0.0000000
16.6967205;-16.1235212;-4.3373421;-2.8786731;-0.0000063;6.5000000;0.0000000
17.0942638;-16.5074030;-4.4406639;-2.8786756;-0.0000078;6.5000000;0.0000000
17.4918091;-16.8912871;-4.5439854;-2.8786786;-0.0000094;6.5000000;0.0000000
